,csv.pbm_036.ID,csv.pbm_036.count,csv.pbm_036.mediansTime,csv.pbm_036.mediansEvent_length,csv.pbm_036.mediansRh103Di,csv.pbm_036.mediansIn113Di,csv.pbm_036.mediansIn115Di,csv.pbm_036.mediansXe131Di,csv.pbm_036.mediansCs133Di,csv.pbm_036.mediansBa138Di,csv.pbm_036.mediansLa139Di,csv.pbm_036.mediansCe140Di,csv.pbm_036.mediansPr141Di,csv.pbm_036.mediansNd142Di,csv.pbm_036.mediansNd143Di,csv.pbm_036.mediansNd144Di,csv.pbm_036.mediansNd145Di,csv.pbm_036.mediansNd146Di,csv.pbm_036.mediansSm147Di,csv.pbm_036.mediansNd148Di,csv.pbm_036.mediansSm149Di,csv.pbm_036.mediansNd150Di,csv.pbm_036.mediansEu151Di,csv.pbm_036.mediansSm152Di,csv.pbm_036.mediansEu153Di,csv.pbm_036.mediansSm154Di,csv.pbm_036.mediansGd155Di,csv.pbm_036.mediansGd156Di,csv.pbm_036.mediansGd158Di,csv.pbm_036.mediansTb159Di,csv.pbm_036.mediansGd160Di,csv.pbm_036.mediansDy161Di,csv.pbm_036.mediansDy162Di,csv.pbm_036.mediansDy163Di,csv.pbm_036.mediansDy164Di,csv.pbm_036.mediansHo165Di,csv.pbm_036.mediansEr166Di,csv.pbm_036.mediansEr167Di,csv.pbm_036.mediansEr168Di,csv.pbm_036.mediansTm169Di,csv.pbm_036.mediansEr170Di,csv.pbm_036.mediansYb171Di,csv.pbm_036.mediansYb172Di,csv.pbm_036.mediansYb173Di,csv.pbm_036.mediansYb174Di,csv.pbm_036.mediansLu175Di,csv.pbm_036.mediansYb176Di,csv.pbm_036.mediansBCKG190Di,csv.pbm_036.mediansIr191Di,csv.pbm_036.mediansIr193Di,csv.pbm_036.mediansdensity,csv.pbm_036.percenttotal
152,152,33,12.9263247705752,2.42379204358752,0,0.090846523101772,0,0,0,0.860153881785123,0.72317844129033,0,0.144904890866042,0,3.51400681057774,0.320916523683117,0.336229761838223,0.240763772235378,0.124958233720082,0.15819400357911,3.81458185018577,0.50290895450244,2.91223162499672,0.928920586728799,1.27825046391002,5.0908152409921,0.120474450216309,0,0,0.391705318196607,0.786786402694697,0.027210099423752,2.25603276862841,0.287055255096689,1.52632584009008,1.74791695311045,0.168497061805058,0,0,0,1.02045376114132,0.165027822782149,0,0,1.45992215274179,0.169911414854945,0.374600373324591,0,3.8434212907035,4.49251921388869,11.7653885666669,0.008493224723005
153,153,249,13.7290059252865,2.31243834127275,0,0.049256619412454,0,0,0,0.14487451388456,0.128332215051371,0,0.627861562536002,0,0,0.511999763064253,0.232841272326282,0.759855974815104,0.00850858778153,0,0,0.286588887783994,0,1.41183116187492,0,2.30876337831894,0.125104030003981,0,0,0.178339379760889,0.33014223100288,0,1.78078097795861,0.089522115188751,0.932279203905333,1.19782931936299,0.468635414803451,0,0,0,0.455664628969977,0.135381675673581,0.129378743544788,0.085147250664229,0.718048073999422,0.285420814695181,0.175065720337748,0,3.88817864216208,4.48266765911262,11.9470790938642,0.064085241091765
154,154,84,13.6999145308686,2.38801132228465,0,0,0,0,0,0.970089143881569,0.055809173709455,0,1.62491425324181,0,0,0.079612448503916,3.08350766674368,0.753724917076123,0,0,0,0,0,0.662008649200867,0,0.230509538037281,0,0,0,0.102593648775475,0.402914678577858,0.255121841618897,0.486780832550727,0,0.748790049581202,1.78172201302597,0,0,0,0,0.257908417868501,0.027345957720236,0.119378591351962,0,1.85645715447484,0.172065865692393,0.884815994333194,0,3.8481039235665,4.49559305080725,11.9009948070126,0.02161911747674
155,155,64,13.1471645725782,2.38801132228465,0,0,0,0,0,1.3389947865496,0.536534425400611,0,0.035139763769988,0.020316362133143,3.44501573178475,0.224898762426451,0,0.067430971332228,0,0.134709199902701,3.72786452880662,0.404598344322371,2.72433179160883,0.950801097680731,0.881596459307665,5.13224957990284,0.128981579074134,0,0,0.407911659924154,0.476691305733028,0,1.34873246211396,0.003237136190342,0.287712580356657,1.0180168632497,0,0,0,0,0.703806944439397,0,0.012938708384937,0,0.931157107495513,0.071018336650613,2.41905080181245,0,3.72010591011267,4.36791132954574,11.6726707065375,0.016471708553707
156,156,69,12.6159706637689,2.45835522547041,0,0.66062954894834,0,0,0,1.81146198398479,0.42400723731487,0,0.517094276413613,0,0,1.4388835253403,0.071136936651065,2.93218284473923,0,0,0,1.35022637659795,0,0.822534794721541,0,3.40471710884318,0.261913620232121,0,0,1.76183366917348,0.731829286845039,0.154941568999133,3.01046683689577,0.43299924516151,1.10358294930954,2.5354043950861,0.950015677222023,0,0,0,0.857966168425615,2.65547842168555,0.566098019454257,0.12048939773002,2.68179409892302,0.640745205461312,0.416451230088084,0,3.82546732124595,4.44836477938238,11.9006229937129,0.017758560784465
157,157,202,10.8969662364326,2.35092571975091,0,0.179147456338743,0,0,0,0.208116213003095,0.103848079367061,0,0.411702897147277,0,0,1.0145345884007,0.09150679067124,1.90802908069301,0,0,0,0.347379317210011,0,1.46139859835417,0,2.77183624324628,0.253897243948455,0,0,0.089484703887882,0.317343586186776,0,2.24273761468746,0.195910820487397,0.757263847065061,1.33336333712357,0.612054176638468,0,0.004754586779167,0,0.879406758687693,0.277835475675252,0.221601603160209,0.051419288042187,0.948779347113029,0.414836122221198,0.114284046713249,0,4.00232474791813,4.57559509019673,11.946075776396,0.051988830122637
158,158,6,13.0187409550762,2.42318327387753,0,0.501692461903664,0,0.09924244911625,0,0.88354956786826,0.151848357293758,0,0.225117395580383,0,0,0,0,0.431918193381804,0.03479167814424,0,0,0.222296346736577,0,4.11933023677911,0,1.53925554561906,0.2254375764443,0,0,0.7158472864124,0.244254144536367,0,0.943852373042309,0.186848046377994,1.92338583263716,5.0037225817501,0.342767062115006,0,0.117947396735918,0,0.563622621085543,0.003630299635088,0,0.061973116800711,2.93487849734148,0.528992801413192,1.02272044319586,0,3.6698051731406,4.24546341391114,11.8960029131463,0.00154422267691
159,159,339,13.7152619541938,2.42379204358752,0,0.01067459129435,0,0,0,0.47231699005148,0.943036065655731,0,0.087784760313915,0,3.29347993463126,0.176588703367064,0,0.123638909528356,0,0.186203116562599,3.62294113971545,0.390505770149456,2.82547789934055,1.2449208419268,0.513370421704018,5.07116095717998,0.206411486807723,0,0,0.294501413940271,0.303915681761004,0.296503963347001,3.99090934744903,0.803586902693542,0.641926090875099,1.32799533851259,0.102823696715216,0,0,0,0.9423236889538,0,0,0.031138609161293,1.25462604590304,0.071023200405808,2.07655119157558,0,3.60741151541587,4.22583870754524,11.6909812697705,0.087248581245416
160,160,77,12.7298045241368,2.45835522547041,0,0.038807729534249,0,0,0,1.49467025242001,0.975295778899952,0,0.024476381914286,0.031824568996514,3.53859247247646,0.263709361584127,0,0.360217880551196,0,0.167583061089444,3.81336726539481,0.548342297865523,2.86608094482135,0.941385842755258,0.423446984340196,4.97266679452884,0.076049148769577,0,0,0.582793792016525,0.734942127694654,0,0.935747610465692,0,0.312403301429209,1.90607515192169,0.079632225666913,0,0,0,0.831105412315833,0,0.020407613163978,0,1.7019127235278,0.225858989214647,0.31095551590029,0,3.48471263539862,4.17086248374509,11.7736298911889,0.019817524353679
161,161,2257,13.082342312059,2.2724413273866,0,0.171533697777863,0,0,0,0.346699128980569,0.127718058196888,0,0.10899089532712,0,0,1.19096400311985,0.010546914156986,2.6483073904957,0,0,0,1.23267726484626,0,0.706161113016056,0,3.1537512868537,0.130261040675903,0,0,1.68410357699542,0.224290281511385,0.013320989328449,2.69473545938337,0.262416677204712,0.673619807393881,1.94294315939735,0.420807958952568,0,0,0,0.718068175906726,1.81331669846333,0.214989709560645,0,1.55173145124759,0.517515027677809,0.069901550419781,0,3.57711024798855,4.17919517257755,11.947817327809,0.580885096964316
