,edges.from,edges.to,edges.weight
689,471,642,7.67217920143373
690,472,555,10.877502232916902
691,472,561,8.65731301115573
692,473,509,5.95780488901291
693,473,537,4.78859143092239
694,473,545,5.35583156044409
695,475,646,6.56854611542589
696,476,709,9.435220550067019
697,477,630,11.008598627775099
698,480,735,8.3902530139913
699,481,576,7.3952069121494
700,481,699,6.43262881598524
701,482,588,8.72306054520589
702,487,663,7.86599255873563
703,489,591,11.388617546941301
704,489,601,8.51901099831406
705,494,661,10.9363179286166
706,494,704,9.30082944741771
707,494,783,9.27325570827165
708,497,580,8.20974088700316
709,498,772,10.957698388645001
710,499,544,8.604319408492401
711,499,593,7.13224485068437
712,499,778,9.68247539747699
713,500,660,7.15056688960963
714,501,561,9.51318924847739
715,502,542,11.4069195429602
716,503,756,8.30159688440203
717,504,522,7.08513508528138
718,508,593,5.69523287755397
719,508,745,8.85136948292266
720,511,694,13.357860230410399
721,514,735,9.73215552104385
722,514,792,16.9442153158776
723,515,782,8.22380316416102
724,516,575,8.82791502450292
725,517,521,3.9653746134020698
726,520,597,8.05250233139601
727,520,601,7.926284018596929
728,520,689,6.680035000865691
729,522,600,7.700892835206231
730,522,764,6.87598160872693
731,524,636,6.9869777321027104
732,526,654,10.114732585518599
733,527,744,6.792346922181361
734,528,780,10.4829953994193
735,529,735,9.519623489348142
736,531,673,6.38962774135849
737,532,651,6.412127268677829
738,532,674,7.418812074332349
739,534,700,8.7249466668258
740,538,647,7.01021049962969
741,539,723,15.222438312137001
742,541,637,9.404720727822571
743,541,662,10.1829813208576
744,541,683,11.9568616828631
745,543,577,4.965228106708559
746,550,675,8.90206279069443
747,550,705,7.8982933572067795
748,553,632,10.567210600436198
749,556,748,15.1908322204707
750,557,670,6.7259813116882405
751,558,588,7.186420914649121
752,559,561,7.907460247943879
753,559,650,8.00350840971602
754,560,660,7.66032799946224
755,561,596,8.06480254738061
756,562,619,6.95760435220862
757,563,689,7.72039333033907
758,564,740,9.53980603649599
759,566,658,8.687887112677421
760,570,653,7.824628708615509
761,571,735,7.011593683754731
762,572,719,12.450132204495098
763,572,785,17.0702102998121
764,579,733,10.081714100357301
765,579,758,7.84910522461933
766,581,594,8.13841271716905
767,582,775,12.9284671627775
768,583,741,9.79449645985726
769,586,590,6.06088618169811
770,587,689,7.718518945649099
771,591,714,11.7270365626623
772,595,604,8.24024659171741
773,596,665,7.764498292954721
774,597,607,8.74353387122045
775,597,732,9.826853327296929
776,612,790,13.0594892121858
777,613,630,7.85826592722241
778,619,729,8.35066859746955
779,627,724,8.51340141798167
780,627,774,16.6853868237684
781,632,663,4.73620740640338
782,636,657,6.94890429851887
783,642,723,9.93217678073672
784,644,697,10.764261885543199
785,644,755,10.5555630286282
786,645,685,7.16733937743801
787,645,686,8.04244035731941
788,650,713,8.95025280527189
789,654,739,10.917916155381201
790,680,698,10.8261836222841
791,681,727,13.578421199597
792,683,797,12.4186747742429
793,699,722,7.6596360081323205
794,719,759,18.3142509763471
795,735,749,9.69363987281901
796,742,795,9.99057229747736
797,750,753,19.0137095758742
798,765,793,14.4806767992168
